alpha,0
beta,1
delta,2
div,3
forward_slash,4
gamma,5
geq,6
gt,7
infty,8
lambda,9
leq,10
lt,11
mu,12
neq,13
phi,14
pi,15
pm,16
sigma,17
theta,18
times,19
!,20
(,21
),22
+,23
-,24
0,25
1,26
2,27
3,28
4,29
5,30
6,31
7,32
8,33
9,34
=,35
[,36
],37
a,38
b,39
c,40
d,41
e,42
f,43
g,44
h,45
i,46
j,47
k,48
l,49
m,50
n,51
o,52
p,53
q,54
r,55
s,56
t,57
u,58
v,59
w,60
x,61
y,62
z,63
{,64
},65
